Captured[146]: A (3E, F4, 45, 8F)
Captured[147]: A (41, 3E, C8, B7)
Captured[148]: A (45, 8F, 38, F2)
Captured[149]: A (3E, AB, E1, 74)
Captured[150]: A (3D, 1D, AC, 8C)
Captured[151]: A (45, E9, F2, 5E)
Captured[152]: A (39, D7, 77, 99)
Captured[153]: A (3E, EC, 99, 4B)
Captured[154]: A (45, C7, 26, A4)
Captured[155]: A (47, 9C, 5B, 80)
Captured[156]: A (47, 0B, 76, 3A)
Captured[157]: A (43, 2A, 6F, 06)
Captured[158]: A (44, 31, 91, E4)
Captured[159]: A (47, 97, EF, 3F)
Captured[160]: A (3D, 08, 2D, 18)
Captured[161]: A (42, 6F, 15, 38)
Captured[162]: A (42, E6, 1B, BF)
Captured[163]: A (3E, 7D, 5A, 19)
Captured[164]: A (45, 75, FE, CE)
Captured[165]: A (45, A5, 0A, EA)
Captured[166]: A (42, AC, 07, E9)
Captured[167]: B (43, 0D, C9, 87)
Captured[168]: A (45, DD, 1E, 86)
Captured[169]: B (42, 66, 68, 4C)
Captured[170]: A (3E, 83, 0F, B2)
Captured[171]: A (43, ED, 39, 97)
Captured[172]: A (3E, 7F, FC, BD)
Captured[173]: A (35, 6D, 81, D9)
Captured[174]: A (42, 90, EF, 3D)
Captured[175]: A (3E, 7D, 2A, 69)
Captured[176]: A (43, 68, A7, 8C)
Captured[177]: A (45, AF, ED, 07)
Captured[178]: A (42, CC, 4F, C1)
Captured[179]: A (47, 09, 1A, 54)
Captured[180]: A (47, 82, 57, 92)
Captured[181]: A (42, 5A, 87, 9F)
Captured[182]: A (3A, A2, 52, CA)
Captured[183]: A (45, 7A, E5, DA)
Captured[184]: A (47, 80, 1D, DA)
Captured[185]: A (43, 06, 0D, 48)
Captured[186]: A (43, 7C, 49, 76)
Captured[187]: A (24, 99, CF, 72)
Captured[188]: A (38, B5, E1, 6C)
Captured[189]: A (45, 90, 98, 4D)
Captured[190]: A (43, 1A, 24, 7D)
Captured[191]: A (A3, CB, E9, 81)
Captured[192]: A (39, E3, 4A, 90)
Captured[193]: A (43, 56, 62, 77)
Captured[194]: A (45, 9F, 0F, D5)
Captured[195]: A (43, 05, AB, ED)
Captured[196]: A (42, 76, 80, B4)
Captured[197]: A (42, 75, 51, 66)
